State,County_FIPS,Nearby_Station_Identifiers_(USAF_WBAN),County_Name
NY,36081,72055399999|72408799999|72409899999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99642099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,Queens County
NV,32003,69017099999|69017499999|69258499999|72067599999|720741269|72209653127|72209699999|72386023169|72484653123|72484699999|74614023112|74614123141|74614199999|99999923141|99999923169|99999923173,Clark County
WA,53033,720388469|72038899999|72665699999|72781524237|72792894263|72792899999|72793024233|72793399999|72793494248|72793499999|72793524234|72793599999|72793724222|72793799999|72793894274|72793899999|72793999999|7279454205|72794599999|72796599999|72797399999|74200499999|74206024207|74206099999|74206599999|74206699999|74207024201|74207099999|74207124201|74207199999|74207599999|74207699999|99401499999|99404899999|99435099999|99825699999|99999924207|99999924233|99999924234|99999924237|99999924244|99999924281|99999994274|99999994290,King County
CA,6071,69015093121|69015099999|69269499999|69541499999|69753499999|69811499999|72381493121|72381523161|72387499999|7461103182|74611099999|74949599999|99999923161|99999923192|99999993121,San Bernardino County
TX,48439,72026153976|72026199999|72028653977|72028699999|72029153970|72029199999|72029553972|72029599999|72029953966|72029999999|72030553964|72030599999|72032053981|72032099999|72209453984|72209499999|72210299999|72214353975|72214399999|72247953907|72247999999|72254153914|72254199999|72258013960|72258113960|72258313960|72258593901|7225893991|72258999999|7225903927|7225933985|72259399999|72259453909|72259499999|72259513911|72259613961|72259793985|7225983970|72259899999|7225993971|72259999999|74739013961|9999993927|9999993943|99999913907|99999993901|99999993903|99999993904,Tarrant County
TX,48029,720395130|72039599999|72073399999|72241612971|72252312970|72252399999|72253012921|72253312962|72253512909|72253599999|72253612911|72253699999|72253712961|72253799999|72253912979|74905699999|74905899999|99999912910|99999912911|99999912931,Bexar County
FL,12011,72202012839|72202212803|72202299999|72202412882|72202499999|72202512849|72202612826|72202699999|72202799999|72202899999|72202912888|72202999999|72203012844|72203792809|72203799999|72203912885|72203999999|72204992805|72204999999|74783012849|74904499999|99405099999|99417099999|99456099999|99735599999|99830599999|99999912826|99999912839|99999912844|99999912848|99999912849|99999912852|99999912853|99999992811,Broward County
CA,6085,69007093217|720646228|72491523245|72491523259|72491599999|72491693217|72491699999|72491723233|72491899999|72492523240|72492623258|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493723289|72493799999|72493893231|72493899999|72494023234|72494523293|72494693232|72494699999|72494799999|72585093228|72593023233|74492599999|74504099999|74505599999|74505823277|74505899999|74506023239|74509023244|74509099999|74509599999|74509699999|749179392|74917999999|74918099999|74918199999|749484395|99401999999|99403399999|99404199999|99737599999|99739299999|99799799999|99816299999|99817399999|99999923230|99999923233|99999923234|99999923240|99999923242|99999923244|99999923245|99999923259|99999923293|99999993211|99999993217|99999993228|99999993243,Santa Clara County
MI,26163,69011099999|72011354829|72011399999|7202754872|72027599999|72537094847|72537354819|72537399999|72537494889|72537514822|72537614853|72537699999|72537714804|72537799999|7253784887|72537899999|72538599999|7254044847|72541854823|72541899999|72632099999|72637594817|72637599999|99477099999|99729599999|99799699999|99849299999|99999914804|99999914822|99999914853|99999914856|99999994847,Wayne County
CA,6001,720646228|72492023237|72492523240|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493623254|72493723289|72493799999|72493893231|72493899999|72493999999|72494023234|72494399999|72494523293|72494693232|72494699999|72494799999|72495023250|72495023254|72495593227|72495599999|72495623211|72495899999|72585093228|74013499999|74016499999|74492599999|74503999999|74504099999|74504599999|74505823277|74505899999|74506023239|74506599999|74509023244|74509099999|74509599999|74509699999|74509799999|74516023202|74516099999|74516599999|74918099999|74918199999|749484395|99401699999|99403399999|99403499999|99403699999|99404199999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923234|99999923237|99999923239|99999923240|99999923242|99999923244|99999923254|99999923272|99999923293|99999993211|99999993228,Alameda County
NY,36061,72055399999|72408799999|72409899999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,New York County
MA,25017,72225664774|72505914702|72505999999|72506854777|72506899999|72507699999|72508554756|72508599999|72508854733|72508899999|72509014739|72509499999|72509594746|72509714790|72509854704|72509899999|72509999999|72510094746|7251074780|72510799999|72605499999|72606799999|74490014702|74490099999|74490494723|74490499999|7449054779|74490714753|99242099999|99497199999|99714099999|99727899999|9999994769|9999994780|99999914702|99999914753|99999914781|99999914789|99999914790|99999994746,Middlesex County
PA,42101,72030464752|72030499999|72032464753|72032499999|720408136|72040899999|72408013739|72408594732|72408599999|72408614793|72510954782|72510999999|72511354786|72511399999|72517014737|72517199999|99728699999|99730099999|99737299999|99768799999|99769899999|99800299999|99826599999|99834299999|9999993761|99999913739|99999913771|99999914737|99999914793|99999994732,Philadelphia County
CA,6067,72026723224|72026799999|720576174|72057699999|720614205|720645227|72068199999|72482893241|72482899999|72483023232|72483323206|72483399999|72483523206|72483623208|72483699999|72483793216|72483799999|72483893205|72483899999|72483993225|72483999999|72492023237|72493623254|72495023254|72495899999|74500099999|74516023202|74516099999|74516599999|99403499999|99801199999|99847899999|99999923202|99999923232|99999923237|99999923254|99999923271|99999993216,Sacramento County
FL,12099,72202212803|72202299999|72202512849|72203012844|72203599999|72203699999|72203792809|72203799999|72203912885|72203999999|72204899999|72204992805|72204999999|72218992815|72218999999|722261360|72226199999|74783012849|74904499999|99405099999|99417099999|99830599999|99999912844|99999912849,Palm Beach County
NY,36103,72209864761|72209899999|72501099999|72501654790|72501699999|72502699999|72502899999|72503499999|7250354781|72503794745|72503999999|7250504781|74485999999|74486454787|74486499999|74486514719|74486599999|74497599999|74910599999|99446099999|99493099999|99494099999|99496099999|99497099999|99633099999|99642099999|99718599999|99718699999|99728099999|99728299999|99728499999|99729099999|99743999999|99999914708|99999994745,Suffolk County
FL,12057,72037392824|72037492825|721042486|72201412818|72201499999|72201712876|72201799999|72202192816|72202199999|72206499999|72210099999|72210492806|72210499999|72211012842|72211512871|72211599999|72211612873|72211699999|72211799999|72211912883|72211999999|72212312809|72212399999|72474299999|74788012810|74788099999|74793112876|74904999999|99400899999|99400999999|99408299999|99408599999|99487099999|99488099999|99721199999|99734599999|99735399999|99735799999|99770199999|99770599999|99779199999|99821299999|99821399999|99822899999|99824199999|99824499999|99826999999|99999912810|99999912842|99999992802,Hillsborough County
NY,36005,72055399999|72409899999|72501599999|72502699999|72502899999|72503014732|72503394728|7250354781|72503794745|72503814714|72503899999|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,Bronx County
FL,12095,720904299|72201192813|72201199999|72201292817|72201299999|72201712876|72201799999|72204099999|72204612898|72204699999|72205012815|72205312841|72205399999|72205612834|72205712854|72205799999|72205899999|72212312809|72212399999|72221312819|72221399999|72236192808|72236199999|74787012834|74793112876|74794012868|74794099999|74794599999|74794612886|74794699999|74795012867|74795099999|74904799999|74905099999|74905499999|99735499999|99780699999|99999912815|99999912834|99999912841|99999912846|99999912847|99999912854|99999912889|99999992821,Orange County
NY,36059,72055399999|72408799999|72409899999|72501099999|72501654790|72501699999|72502699999|72502899999|72503014732|72503394728|72503499999|7250354781|72503794745|72503999999|7250504781|72505394728|72506094728|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99642099999|99718699999|99727199999|99727299999|99728099999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914786|99999914797|99999994728|99999994745|99999994789,Nassau County
OH,39049,720414139|72041499999|720651232|720928315|72428014821|72428463825|72428499999|72428513812|72428599999|7242884804|72428899999|72429453844|72429499999|7242953867|72429563888|72429599999|7252084855|72520899999|7252294858|72522999999|9999993867|99999913812|99999914821|99999993834,Franklin County
MI,26125,69011099999|72011354829|72011399999|720902298|72090299999|72234654824|72234699999|72537094847|72537354819|72537399999|72537494889|72537514822|72537614853|72537699999|72537714804|72537799999|7253784887|72537899999|7253844888|72538499999|72538599999|72541854823|72632099999|72637014826|72637594817|72637599999|99477099999|99799699999|99849299999|99999914804|99999914822|99999914826|99999914853|99999914856|99999994847,Oakland County
MN,27053,72058399999|72200354930|72200399999|72211454901|72211499999|7221444945|72214499999|72655014926|7265624943|72656299999|72656394969|72656399999|7265694933|72656999999|72657399999|72657594960|72657599999|72657794974|72657799999|72657994963|72657999999|72658014922|72658414927|72658499999|7266034974|72660399999|72668254914|72668299999|7275034909|72750399999|7275174932|72751799999|99999914922|99999914926|99999914927|99999914947,Hennepin County
TX,48453,720542166|72054299999|720639225|720648230|72211353979|72211399999|72241612971|72253912979|72253999999|72254013904|72254013958|7225423999|72254299999|72254413958|72254513904|72254599999|72254612910|72254753942|72254799999|74905699999|99999912910|99999913904|99999913958|99999923907,Travis County
OH,39035,72430314813|72430399999|72521014895|7252144849|72521499999|72521599999|7252164842|72521699999|72524014820|72524399999|7252444809|72524499999|7252454853|72524599999|7252474805|72524799999|72524899999|725253380|72525399999|74471499999|99224099999|99280099999|99769299999|99799999999|99800199999|99817999999|99828199999|99999914813|99999914820|99999914843|99999914895|99999914896|99999954856,Cuyahoga County
PA,42003,720378122|72037899999|7251174827|72511799999|72512464705|72512499999|72517564706|72517599999|72520094823|7252044813|72520499999|72520514762|72520599999|72520699999|72520754735|72520799999|74906799999|99999914762|A0003093795,Allegheny County
VA,51059,7203173735|72031799999|722692367|72269299999|72309893798|72309899999|72403093738|7240333706|72403399999|72403513773|7240363710|72403699999|72403793728|72403799999|72405013743|7240553714|72405599999|99440099999|99729699999|99731499999|99999913743|99999913760|99999913773|99999993734,Fairfax County
CA,6013,720406135|72040699999|720576174|72057699999|720646228|72093599999|72482893241|72482899999|72483023232|72492023237|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493623254|72493723289|72493799999|72493893231|72493899999|72493999999|72494023234|72494399999|72494523293|72494693232|72494699999|72494799999|72495023250|72495023254|72495593227|72495599999|72495623211|72495899999|72585093228|74016499999|74503999999|74504099999|74504599999|74506023239|74506599999|74509023244|74509099999|74509799999|74516023202|74516099999|74516599999|74918099999|99401699999|99403399999|99403499999|99403699999|99404199999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923232|99999923234|99999923237|99999923239|99999923242|99999923244|99999923254|99999923272|99999923293|99999993211|99999993228|A07049320,Contra Costa County
UT,49035,72056599999|72057299999|72472599999|72572024127|72572399999|72572424174|72572499999|72575024126|72575099999|72575524101|72575599999|9999994133|9999994143|99999924101|99999924120|99999924122|99999924126|99999953167|A000284116,Salt Lake County
NC,37119,72027763843|72027799999|72103899999|72207953888|72207999999|72212853899|72212899999|72213263801|72213299999|72214863824|72214899999|7230103810|72305563816|72305599999|72314013881|7231453810|72314753870|72314799999|72315663812|72315699999|72319453872|72319499999|725294383|72529499999|9999993810|99999913881,Mecklenburg County
NC,37183,69132499999|7202883711|72028899999|720968340|7221313713|72213199999|7221413731|72214199999|7221933722|72219399999|7222013723|72220199999|72303013714|72303099999|72304499999|72306013722|72306613713|72306893759|72306899999|72317493783|72317499999|74693093737|74693099999|7469363712|74693699999|74693993785|74693999999|7469403708|74694099999|9999993758|99999913713|99999913746|99999993737,Wake County
GA,13121,720674249|720714252|72089799999|720966339|722109355|72210999999|72215099999|72215653873|72215699999|72217653884|72217699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72219753819|72219799999|72227013864|72227099999|72227399999|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|99999913864|99999913874|99999993830|A0001163848,Fulton County
MD,24031,72033493764|72033499999|720384124|72038499999|7206993724|72069999999|72208113730|72208199999|72215813752|72215899999|722244358|72224499999|7228233749|72282399999|72404799999|72406093721|72406499999|72406593733|72406599999|72406693706|72406699999|72406793744|72406799999|74594013705|74594099999|74594493784|74594599999|74907099999|99440099999|99729699999|99730299999|99731499999|99778199999|99799499999|99840999999|99999913710|99999913725|99999913730|99999913749|99999913751|99999913752|99999913777|99999993721,Montgomery County
AZ,4019,720339121|72033999999|72274023160|74916799999|99999923160|99999953006|99999953131,Pima County
TX,48085,72028753967|72028799999|72029153970|72029199999|72030299999|721044448|72209453984|72209499999|72214353975|72214399999|72247953907|72247999999|72248953911|72248999999|72254153914|72254199999|72255293929|72255299999|72258013960|72258113960|72258313960|72258593901|72258813926|72258899999|7225893991|72258999999|7225903927|72259453909|72259499999|7225983970|72259899999|7225993971|72259999999|72267399999|9999993927|99999913907|99999993901,Collin County
MO,29189,720169116|72048999999|72434013994|7243453966|72434753904|72434799999|99999913994|99999993910,St. Louis County
CA,6019,72389093193|72389693144|72389699999|72389723167|72389799999|72389853119|72389899999|74504693242|74504699999|74702023110|99999923110|99999923167|99999993193,Fresno County
HI,15003,91117099999|91168199999|91169099999|91170022508|91170099999|91172099999|91176022519|91178022514|91178022551|91178099999|91180099999|91180399999|91181099999|91182022521|91184099999|99400799999|99733499999|99733599999|99819399999|99822299999|99999922508|99999922514|99999922515|99999922517|99999922519,Honolulu County
FL,12103,72037392824|72037492825|721042486|72201412818|72201499999|72202192816|72202199999|72206499999|72210099999|72210492806|72210499999|72211012842|72211512871|72211599999|72211612873|72211699999|72211799999|72211912883|72211999999|72474299999|74788012810|74788099999|74904999999|99400899999|99400999999|99408299999|99408599999|99487099999|99488099999|99707099999|99721199999|99734599999|99735399999|99735799999|99770199999|99770599999|99779199999|99821299999|99821399999|99822899999|99824199999|99824499999|99826999999|99999912810|99999912842|99999992802,Pinellas County
NY,36119,72055399999|72409899999|7250154789|72501599999|72502699999|72502899999|72503014732|72503394728|7250354781|72503614757|72503699999|72503794745|72503814714|72503899999|72503999999|7250504781|72505394728|72506094728|72519899999|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728499999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914757|99999914786|99999914797|99999964756|99999994728|99999994745|99999994789,Westchester County
IN,18097,720575173|72057599999|72081599999|72435653866|72435699999|72436013803|72436113803|72436313803|72436399999|72438093819|72438453842|72438499999|7243854828|72438599999|99999993819,Marion County
WI,55079,7220594866|72205999999|72640014839|72640399999|72640594869|72640599999|72640699999|72640799999|7264094897|72640999999|7264134875|72641399999|72642494818|72642499999|72646454834|72646499999|7265054845|72650599999|7265094898|72650999999|99299099999|99734099999|99734299999|99773699999|99999914839|99999994869,Milwaukee County
FL,12031,69180499999|72039999999|720946326|72206013889|72206593837|7220663853|72206763823|72206793832|72206799999|72206853860|72206899999|72221292814|72221299999|74782053860|749048415|74904899999|99415099999|99441099999|99734799999|99735899999|99780599999|9999993853|99999913889|99999953894|99999963890|99999993832|99999993837|A0002363890,Duval County
CT,9001,720545169|72054599999|72502699999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504899999|72508654734|72508699999|72508714752|72508799999|72508999999|99446099999|99489099999|99490099999|99491099999|99492099999|99494099999|99495099999|99496099999|99497099999|99718599999|99718699999|99728099999|99728499999|99729099999|99743999999|99999914752|99999914758|99999994702|99999994772,Fairfield County
TN,47157,72016899999|72017199999|72328493839|72328499999|72334013893|72334593839|99999913893|99999993839,Shelby County
NJ,34003,720581178|72058199999|72224754785|72224799999|72407754779|72407799999|72409454743|72409499999|72409754738|72409799999|72409999999|72410499999|72502014734|72502594741|72502599999|72502699999|74000154793|74000199999|74910999999|99718699999|99727199999|99728099999|99728999999|99729099999|99743999999|99774399999|999999178|99999914734|99999994741,Bergen County
GA,13135,72089799999|722109355|72210999999|72215653873|72215699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72227013864|72227099999|72227399999|72311013873|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|749483394|74948399999|99999913864|99999913873|99999913874|99999963850|99999993830|A0001163848,Gwinnett County
IL,17043,7201374867|72013799999|7220754871|72207599999|7221264879|72212699999|72241799999|72241899999|72530094846|72530594892|72530599999|72530614855|72530699999|72530799999|72533999999|72534014819|72534499999|72534514834|72534599999|72534694866|72534699999|72534714880|72534799999|7253484831|72534899999|74460099999|74465099999|7446554808|74465599999|7446654838|74466599999|99725599999|99733899999|99773599999|99849799999|99849999999|99999914810|99999914819|99999914834|99999914855|99999954811|99999994846|99999994866,DuPage County
NY,36029,7252354720|72523599999|72528014733|725283465|72528399999|72528599999|7252874724|72528799999|72528899999|74498914747|74498999999|99425099999|99551099999|99725499999|99798999999|99816899999|99823599999|99826699999|99999914733|99999914747,Erie County
MD,24033,72033493764|72033499999|720384124|72038499999|72038999999|72208113730|72208199999|72215813752|72215899999|722218356|72221899999|722244358|72224499999|72404013721|7240433756|72404399999|72404799999|72404899999|72406093721|72406593733|72406599999|72406793744|72406799999|74594013705|74594099999|74594493784|74594599999|99440099999|99729699999|99729799999|99730299999|99730999999|99731299999|99731499999|99778199999|99799499999|99840999999|99999913710|99999913721|99999913725|99999913730|99999913751|99999913752|99999913777|99999993721,Prince George's County
CA,6029,7229533183|72295399999|72383023187|72384023155|74917099999|749171479|74917199999|9999993129|99999923155|99999923187|99999993108,Kern County
CT,9003,720545169|72054599999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504614707|72504699999|72504799999|72504899999|72508014740|72508454767|72508499999|72508654734|72508699999|72508714752|72508799999|72508999999|99475099999|99489099999|99718599999|99728399999|99728499999|99729099999|99999914707|99999914740|99999914752|99999914758|99999994702|99999994772,Hartford County
WA,53053,720254119|72025499999|720388469|72038899999|72781524237|72792024227|72792699999|72792894263|72792899999|72793024233|72793399999|72793494248|72793499999|72793524234|72793599999|72793894274|72793899999|72793999999|74206024207|74206099999|74207024201|74207099999|74207124201|74207199999|74207599999|74207699999|99401499999|99404899999|99435099999|99825699999|99999924207|99999924227|99999924233|99999924234|99999924237|99999924244|99999924281|99999994274|99999994290,Pierce County
CA,6075,720406135|72040699999|720646228|72093599999|72492723285|72492799999|72493023230|72493099999|72493593228|72493599999|72493623254|72493723289|72493799999|72493893231|72493899999|72493999999|72494023234|72494399999|72494523293|72494693232|72494699999|72494799999|72495023250|72495023254|72495593227|72495599999|72495623211|72495899999|72495999999|72585093228|74013499999|74016499999|74503999999|74504099999|74504599999|74506023239|74506599999|74509023244|74509099999|74509699999|74509799999|74516023202|74516099999|74516599999|99248099999|99264099999|99401699999|99402299999|99403399999|99403499999|99403699999|99404199999|99731999999|99773499999|99801199999|99816399999|99819799999|99847499999|99847599999|99847699999|99847799999|99847899999|99847999999|99849699999|99999923202|99999923230|99999923234|99999923239|99999923242|99999923244|99999923246|99999923250|99999923254|99999923272|99999923293|99999993211|99999993228|A07049320,San Francisco County
MI,26099,69011099999|72011354829|72011399999|720902298|72090299999|72537094847|72537354819|72537399999|72537514822|72537614853|72537699999|72537714804|72537799999|7253844888|72538499999|72538599999|72632099999|72637014826|72637594817|72637599999|72637699999|99477099999|99725899999|99799699999|99833999999|99849299999|99999914804|99999914822|99999914826|99999914853|99999914856|99999994847,Macomb County
TX,48121,72026153976|72026199999|72028753967|72028799999|72029153970|72029199999|72030553964|72030599999|72062299999|721044448|72209453984|72209499999|72214353975|72214399999|72247953907|72247999999|72254153914|72254199999|72255293929|72255299999|72258013960|72258113960|72258313960|72258593901|7225893991|72258999999|7225903927|7225933985|72259399999|72259453909|72259499999|72259513911|72259613961|7225983970|72259899999|7225993971|72259999999|72267399999|74739013961|9999993927|99999913907|99999993901|99999993903|99999993904|A05735209,Denton County
TX,48215,72027612983|72027699999|72215912980|72215999999|72250512904|72250599999|72250612959|72250799999|74905599999|99999912987,Hidalgo County
CT,9009,720545169|72054599999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504614707|72504699999|72504799999|72504899999|72504999999|72508014740|72508454767|72508499999|72508654734|72508699999|72508714752|72508799999|72508999999|99446099999|99475099999|99489099999|99490099999|99491099999|99492099999|99494099999|99495099999|99496099999|99497099999|99718599999|99718699999|99728399999|99728499999|99729099999|99815599999|99999914707|99999914740|99999914752|99999914758|99999994702|99999994772,New Haven County
CA,6111,72004699999|72288023152|72288099999|72288499999|72288593197|72288599999|72288623130|72288699999|72289899999|72291699999|72295499999|72383023187|72391093111|72391599999|72392099999|72392399999|72392499999|72392523190|72392623136|72392699999|72392793110|72392799999|72392899999|72392999999|74505753130|74505799999|74917099999|99260099999|99402899999|99640099999|99732199999|99732299999|99732699999|99816099999|99834099999|99999923136|99999923152|99999923180|99999923187|99999923190|99999953152|99999993111|99999993124,Ventura County
TX,48141,72270023044|72270499999|99999923019|99999923044,El Paso County
MD,24005,69117499999|72033493764|72033499999|720384124|72038499999|7206993724|72069999999|72208113730|72208199999|72215813752|72215899999|722244358|72224499999|7228233749|72282399999|72404799999|72405713701|72405799999|72406093721|72406499999|72406593733|72406599999|72406793744|72406799999|72406999999|74002099999|74594013705|74594099999|74594493784|74594599999|74907099999|99440099999|99729699999|99730099999|99730299999|99731299999|99731499999|99799499999|99840999999|99999913710|99999913725|99999913730|99999913749|99999913751|99999913752|99999913777|99999993721,Baltimore County
PA,42091,72030464752|72030499999|72032464753|72032499999|720408136|72040899999|72408013739|72408594732|72408599999|72408614793|72510114712|72510314712|72510399999|72510954782|72510999999|72511354786|72511399999|72511654737|72511699999|72517014737|72517199999|99728699999|99737299999|99768799999|99769899999|99826599999|99834299999|9999993761|99999913739|99999913771|99999914737|99999914793|99999994732,Montgomery County
MA,25027,72505914702|72505999999|72508554756|72508599999|72509014739|72509594746|72509854704|72509899999|72510094746|7251074780|72510799999|74490014702|74490099999|74490494723|74490499999|7449054779|74490714753|74491014703|74491099999|74491514775|74491599999|99497199999|99727899999|9999994769|9999994780|99999914702|99999914753|99999914775|99999914781|99999914789|99999994746,Worcester County
